char,prc_default,tw_primary,tw_std_set
蛸,shao1,xiao1,shao1 xiao1
蜚,fei1,fei3,fei1 fei3
蜿,wan1,wan3,wan3
蝍,jie2,ji2,ji2
蝻,nan3,nan2,nan2
螣,te4,teng2,te4 teng2
螫,shi4,zhe1,shi4 zhe1
蟄,zhe2,zhi2,zhe2 zhi2
蠕,ru2,ruan3,ruan3
蠡,li2,li3,li2 li3
血,xue4,xie3,xie3 xue4
衩,cha3,cha4,cha3 cha4
褊,bian3,pian2,bian3 pian2
褎,xiu4,you4,xiu4 you4
褪,tui4,tun4,tun4
襬,bai3,bei1,bai3 bei1
覲,jin4,jin3,jin3
觐,jin4,jin3,jin3
調,diao4,tiao2,diao4 tiao2
譙,qiao4,qiao2,qiao2 qiao4
谁,shui2,shei2,shei2 shui2
调,diao4,tiao2,diao4 tiao2
貉,hao2,he2,hao2 he2 mo4
賜,ci4,si4,ci4 si4
質,zhi4,zhi2,zhi2 zhi4
质,zhi4,zhi2,zhi2 zhi4
贲,ben1,bi4,ben1 bi4 fen4
赐,ci4,si4,ci4 si4
趿,ta1,sa4,sa4 ta1
跇,yi4,chi4,chi4
跐,ci1,ci3,cai3 ci1 ci3
踅,xue2,chi4,chi4 xue2
踦,yi3,ji3,ji3 qi2 yi3
踳,chuan3,chun3,chun3
踹,chuai4,shuan4,chuai4 shuan4
蹒,pan2,man2,man2 pan2
蹔,zan4,zhan4,zan4 zhan4
蹢,di2,zhi2,di2 zhi2
轍,zhe2,che4,che4 zhe2
辗,nian3,zhan3,nian3 zhan3
辙,zhe2,che4,che4 zhe2
辟,pi4,bi4,bi4 pi4
辱,ru3,ru4,ru4
迆,yi2,yi3,yi2 yi3
迕,wu4,wu3,wu3
还,hai2,huan2,hai2 huan2 xuan2
逮,dai3,dai4,dai3 dai4 di4
還,hai2,huan2,hai2 huan2 xuan2
都,dou1,du1,dou1 du1
鄑,zi1,jin4,jin4
酖,zhen4,dan1,dan1 zhen4
酢,cu4,zuo4,cu4 zuo4
酪,lao4,luo4,lao4 luo4
酵,jiao4,xiao4,xiao4
量,liang4,liang2,liang2 liang4
鈚,pi1,pi2,pi2
鈸,bo2,ba2,ba2
鈹,pi1,pi2,pi1 pi2
鈾,you2,you4,you4
鈿,tian2,dian4,dian4
鉺,er4,er3,er3 er4
鋌,ding4,ting3,ding4 ting3
鋟,qin3,qian1,qian1
鋪,pu4,pu1,pu1 pu4
鎘,li4,ge2,ge2 li4
鏊,ao4,ao2,ao2
鑹,cuan1,cuan4,cuan1 cuan4
鑿,zao2,zuo4,zao2 zuo4
钐,shan1,shan4,shan1 shan4
钹,bo2,ba2,ba2
铀,you2,you4,you4
铍,pi1,pi2,pi1 pi2
铤,ding4,ting3,ding4 ting3
铫,diao4,yao2,diao4 yao2
铺,pu4,pu1,pu1 pu4
锓,qin3,qian1,qian1
镐,gao3,hao4,gao3 hao4
镝,di1,di2,di1 di2
镣,liao4,liao2,liao2
镩,cuan1,cuan4,cuan1 cuan4
镪,qiang1,qiang3,qiang1 qiang3
長,zhang3,chang2,chang2 zhang3 zhang4
长,zhang3,chang2,chang2 zhang3 zhang4
閩,min3,min2,min2
閬,lang4,lang3,lang3
闖,chuang3,chen4,chen4 chuang3 chuang4
闯,chuang3,chen4,chen4 chuang3 chuang4
闽,min3,min2,min2
阆,lang2,lang3,lang3
阙,que1,que4,que1 que4
