甄,Chin
祝,Chiok
祝山,Chiok soaⁿ
章,Chiong
鍾,Chiong
鐘,Chiong
彰化,Chiong hòa
彰化市,Chiong hòa chhī
彰化縣,Chiong hòa koān
漳和,Chiong hô
將軍莊,Chiong kun chng
將軍區,Chiong kun khu
石,Chio̍h
石岡區,Chio̍h kng khu
石觀音,Chio̍h koan im
石龜,Chio̍h ku
石硿仔,Chio̍h kńg á
石榴,Chio̍h liû
石門區,Chio̍h mn̂g khu
石城,Chio̍h siâⁿ
石碇區,Chio̍h tēng khu
織女,Chit lí
織女,Chit lú
周,Chiu
章,Chiuⁿ
樟腦寮,Chiuⁿ ló liâu
樟腦寮,Chiuⁿ nó͘ liâu
姐母,Chiá bó
姐母,Chiáu bó
鳥松跤,Chiáu chhêng kha
鳥松區,Chiáu chhêng khu
前金區,Chiân kim khu
前鎮高中,Chiân tìn Ko tiong
前鎮區,Chiân tìn khu
蔣,Chiúⁿ
謝,Chiā
集集,Chi̍p chi̍p
集集線,Chi̍p chi̍p sòaⁿ
集集鎮,Chi̍p chi̍p tìn
集應廟,Chi̍p èng biō
莊,Chng
臧,Chong
鄒,Cho͘
朱,Chu
諸葛,Chu kat
諸羅山,Chu lô san
證交所,Chèng kau só͘
前溝尾,Chêng kau bóe
志學,Chì ha̍k
晉,Chìn
指南宮,Chí lâm kiong
秦,Chîn
錢,Chîⁿ
錢穆紀念館,Chîⁿ bo̍k Kì liām koán
壯圍鄉,Chòng ûi hiong
左,Chó
左營,Chó iâⁿ
左營區,Chó iâⁿ khu
左鎮區,Chó tìn khu
總統府衙,Chóng thóng hú gê
總趕宮,Chóng á keng
祖師廟,Chó͘ su biō
曹,Chô
藏鏡人,Chông kiàⁿ jîn
藏鏡人,Chông kiàⁿ lîn
崇德,Chông tek
註生娘娘,Chù seⁿ niû niû
註生娘娘,Chù siⁿ niû niû
梓官區,Chú koaⁿ khu
水,Chúi
水尾,Chúi bé
水尾,Chúi bóe
瑞穗,Chúi bóe
水燦林,Chúi chhàn nâ
水堀頭,Chúi khut thâu
水里,Chúi lí
水里鄉,Chúi lí hiong
水裡坑,Chúi lí kheⁿ
水林鄉,Chúi nâ hiong
水仙宮,Chúi sian kiong
水社寮,Chúi siā liâu
水上,Chúi siāng
水上鄉,Chúi siāng hiong
水上,Chúi siōng
水上鄉,Chúi siōng hiong
水返腳,Chúi tńg kha
慈濟宮,Chû chè kiong
