暗色,am3 sik4
暗趖趖,am3 so5 so5
暗頭仔,am3 tao5 a2
暗靜,am3 zni7
涵,am5
涵溝,am5 gao1
涵空,am5 kang1
涵空龜,am5 kang1 gu1
茂,am7
頷,am7
頷腮,am7 ci1
頷巾,am7 gin1
頷胿,am7 gui1
頷巾,am7 gun1
頷頸,am7 gun2
頷頸珠,am7 gun2 zu1
頷領,am7 lnia2
頷垂,am7 se5
安,an1
鞍,an1
安排,an1 bai5
安眠,an1 bbin5
安平鎮,an1 bing5 din3
安平區,an1 bing5 ku1
安插,an1 cah4
安床,an1 cng5
安搭,an1 dah4
安置,an1 di3
安定,an1 ding7
安定區,an1 ding7 ku1
安打,an1 dna2
安家,an1 ga1
安家,an1 ge1
安份,an1 hun7
安養,an1 iong2
安南區,an1 lam5 ku1
安寧,an1 ling5
安靈,an1 ling5
安樂區,an1 lok8 ku1
安養,an1 niu2
安心,an1 sim1
安身,an1 sin1
安詳,an1 siong5
安胎,an1 tai1
安太歲,an1 tai3 sue3
安宅,an1 teh8
安通,an1 tong1
安土,an1 too2
安慰,an1 ui3
安穩,an1 un2
安靜,an1 zing7
安裝,an1 zong1
安葬,an1 zong3
安全,an1 zuan5
俺,an2
按,an2
按怎,an2 lna2
按呢,an2 lne1
按呢生,an2 lne1 sne1
按呢,an2 lni1
按呢生,an2 lni2 sni1
按怎,an2 lnua2
按怎,an2 znua2
按怎樣,an2 znua2 niu7
按,an3
晏,an3
案,an3
按脈,an3 bbeh8
按脈,an3 bbneh8
案底,an3 de2
案底,an3 due2
按額,an3 ggiah8
案件,an3 gnia7
按下,an3 ha7
案例,an3 le7
按時,an3 si5
按算,an3 sng3
按照,an3 ziao3
案情,an3 zing5
絚,an5
亞鉛鉼,an5 _ pnia2,2
亞鉛線,an5 _ snua3,2
限,an7
限數,an7 siao3
尪,ang1
翁,ang1
尪仔,ang1 a2
尪仔面,ang1 a2 bbin7
尪仔物,ang1 a2 bbnih8
尪仔物,ang1 a2 bbnngh8
翁仔某,ang1 a2 bboo2
尪仔冊,ang1 a2 ceh4
尪仔標,ang1 a2 piao1
尪仔頭,ang1 a2 tao5
翁某,ang1 bboo2
尪架桌,ang1 ge3 doh4
尪姨,ang1 i5
翁婿,ang1 sai3
聬儱,ang2 lang2
甕,ang3
齆,ang3
甕仔,ang3 a2
甕肚,ang3 doo7
聬儱,ang3 lang2
齆鼻,ang3 pni7
齆鼻聲,ang3 pni7 snia1
齆聲,ang3 snia1
洪,ang5
紅,ang5
紅牌,ang5 bai5
紅包,ang5 bao1
紅肉李,ang5 bbah4 li2
紅目,ang5 bbak8
紅目墘,ang5 bbak8 gni5
紅目鰱,ang5 bbak8 lian5
紅尾冬,ang5 bbe2 dang1
紅面,ang5 bbin7
紅面鴨,ang5 bbin7 ah4
紅毛港,ang5 bbnng5 gang2
紅毛塗,ang5 bbnng5 too5
紅毛田,ang5 bbnoo5 can5
紅尾冬,ang5 bbue2 dang1
紅毛塗,ang5 bbun5 too5
紅綵,ang5 cai2
紅菜,ang5 cai3
紅菜頭,ang5 cai3 tao5
紅蔥仔頭,ang5 cang1 a2 tao5
紅樹林,ang5 ciu7 lna5
紅豆,ang5 dao7
紅豆仔,ang5 dao7 a2
紅茶,ang5 de5
紅燈,ang5 ding1
紅魽,ang5 gam1
紅牙,ang5 gge5
紅外線,ang5 ggua7 snua3
紅記記,ang5 gi3 gi3
紅膏赤蠘,ang5 go1 ciah4 cih8
紅絳絳,ang5 gong3 gong3
紅龜,ang5 gu1
紅龜粿,ang5 gu1 ge2
紅龜粿,ang5 gu1 gue2
紅霞,ang5 he5
紅瓦厝仔,ang5 hia7 cu3 a2
紅莧菜,ang5 hing7 cai3
紅葉溪,ang5 hioh8 ke1
紅葉山,ang5 hioh8 snua1
紅藥水,ang5 ioh8 zui2
紅柿,ang5 ki7
紅利,ang5 li7
紅鰱魚,ang5 lian5 hi5
紅鰱魚,ang5 lian5 hu5
紅露酒,ang5 loo7 ziu2
紅嬰仔,ang5 ne1 a2
紅嬰仔,ang5 ni1 a2
紅色,ang5 sik4
紅燒,ang5 sio1
紅十字會,ang5 sip8 li7 hue7
紅十字會,ang5 sip8 zzi7 hue7
紅頭山,ang5 tao5 snua1
紅頭嶼,ang5 tao5 su7
紅帖仔,ang5 tiap4 a2
紅塗,ang5 too5
紅糟,ang5 zao1
紅蟳,ang5 zim5
紅酒,ang5 ziu2
紅棗,ang5 zo2
歐,ao1
漚,ao1
甌,ao1
甌仔,ao1 a2
歐盟,ao1 bbing5
漚肥,ao1 bui5
漚鹹菜,ao1 giam5 cai3
歐陽,ao1 iong5
歐式,ao1 sik4
嘔,ao2
拗,ao2
漚,ao2
拗蠻,ao2 bban5
拗裒,ao2 boo5
嘔紅,ao2 hong5
嘔血,ao2 hueh4
嘔血,ao2 huih4
嘔心血,ao2 sim1 hiat4
嘔酸水,ao2 sng1 zui2
拗彎,ao2 uan1
拗鬱,ao2 ut4
拗紙,ao2 zua2
懊,ao3
漚,ao3
漚步,ao3 boo7
懊嘟嘟,ao3 du7 du7
漚古,ao3 goo2
漚貨,ao3 he3
漚戲拖棚,ao3 hi3 tua1 bne5
漚戲拖棚,ao3 hi3 tua1 bni5
漚貨,ao3 hue3
漚客,ao3 keh4
懊惱,ao3 lnao2
漚屎,ao3 sai2
漚屎面,ao3 sai2 bbin7
漚屎步,ao3 sai2 boo7
漚色,ao3 sik4
漚鬱熱,ao3 ut4 luah8
漚鬱熱,ao3 ut4 zzuah8
喉,ao5
喉滇,ao5 dni7
喉韻,ao5 un7
喉鐘,ao5 zing1
后,ao7
後,ao7
後擺,ao7 bai2
後尾,ao7 bbe2
後尾門,ao7 bbe2 bbnng5
後面,ao7 bbin7
後母,ao7 bbo2
後母面,ao7 bbo2 bbin7
後某,ao7 bboo2
後母,ao7 bbu2
後母面,ao7 bbu2 bbin7
後尾,ao7 bbue2
後尾門,ao7 bbue2 bbnng5
後爸,ao7 be7
後壁,ao7 biah4
後壁厝,ao7 biah4 cu3
後壁區,ao7 biah4 ku1
後壁厝,ao7 biah4 liao5
後壁山,ao7 biah4 snua1
後步,ao7 boo7
後輩,ao7 bue3
後手,ao7 ciu2
後出世,ao7 cut4 si3
後台,ao7 dai5
後代,ao7 dai7
後斗,ao7 dao2
後場,ao7 dniu5
後過,ao7 ge3
後月日,ao7 ggeh8 lit8
後勁,ao7 ggne7
後月日,ao7 ggueh8 zzit8
後個月,ao7 go3 ggeh8
後個月,ao7 go3 ggueh8
後過,ao7 gue3
後驛,ao7 iah8
後跤,ao7 ka1
後勤,ao7 kin5
後擴,ao7 kok4
後勤,ao7 kun5
後堀溪,ao7 kut4 ke1
後來,ao7 lai5
凹浪,ao7 lang5
後壟,ao7 lang5
後龍,ao7 lang5
後龍鎮,ao7 lang5 din3
後龍溪,ao7 lang5 ke1
后里,ao7 li2
后里區,ao7 li2 ku1
後日,ao7 lit8
後鈕,ao7 liu2
後年,ao7 lni5
後世人,ao7 si3 lang5
後謝,ao7 sia7
後岫,ao7 siu7
後山,ao7 snua1
後山埤,ao7 snua1 bi1
後頭,ao7 tao5
後頭厝,ao7 tao5 cu3
後衛,ao7 ue7
後齻,ao7 zan1
後坐,ao7 ze7
後叔,ao7 zik4
後庄,ao7 zng1
後座,ao7 zo7
後日,ao7 zzit8
壓,ap4
押,ap4
握,ap4
壓迫,ap4 bik4
壓力,ap4 lik8
壓縮,ap4 sok4
壓制,ap4 ze3
狎,ap8
盒,ap8
盒仔,ap8 a2
盒仔餅,ap8 a2 bnia2
楬,at4
遏,at4
楬仔,at4 a2
遏泔,at4 am2
握手,at4 ciu2
遏手把,at4 ciu2 ba3
吧,ba1
巴,ba1
爸,ba1
疤,ba1
笆,ba1
羓,ba1
芭,ba1
𢼌,ba1
吧台,ba1 dai5
巴結,ba1 giat4
巴郎,ba1 lang1
芭蕾,ba1 le5
吧哩嘓,ba1 li2 gok4
巴陵,ba1 ling5
巴陵,ba1 long2
巴壟衛,ba1 long2 ue2
芭蕉,ba1 zio1
把,ba2
飽,ba2
把握,ba2 ak4
飽眠,ba2 bbin5
飽滿,ba2 bbnua2
飽滿,ba2 bbuan2
飽滇,ba2 dni7
飽脹,ba2 dniu3
飽呃,ba2 eh4
飽膭,ba2 gui7
把戲,ba2 hi3
飽仁,ba2 lin5
飽穗,ba2 sui7
飽足,ba2 ziok4
飽漿,ba2 zniu1
飽水,ba2 zui2
飽仁,ba2 zzin5
壩,ba3
把,ba3
豹,ba3
霸,ba3
霸權,ba3 guan5
霸權,ba3 kuan5
霸王,ba3 ong5
霸占,ba3 ziam3
爸,ba5
琶,ba5
罷,ba7
罷免,ba7 bbian2
罷市,ba7 ci7
罷工,ba7 gang1
叭,bah4
爸,bah4
百,bah4
百百空,bah4 bah4 kang1
百百款,bah4 bah4 kuan2
百萬,bah4 bban7
百面,bah4 bbin7
百般,bah4 bnua1
百步蛇,bah4 boo7 zua5
百襇裙,bah4 ging2 gun5
百貨,bah4 he3
百貨公司,bah4 he3 gong1 si1
百貨,bah4 hue3
百貨公司,bah4 hue3 gong1 si1
百分比,bah4 hun1 bi2
百分之百,bah4 hun1 zi1 bah4
百科,bah4 ko1
百二,bah4 li7
百日,bah4 lit8
百日紅,bah4 lit8 ang5
百日嗽,bah4 lit8 sao3
百年,bah4 lni5
百樣,bah4 niu7
百二,bah4 zzi7
百日,bah4 zzit8
百日紅,bah4 zzit8 ang5
百日嗽,bah4 zzit8 sao3
俳,bai1
擺,bai2
跛,bai2
擺撥,bai2 buah4
跛跤,bai2 ka1
擺脫,bai2 tuat4
拜,bai3
拜拜,bai3 bai3
拜佛,bai3 but8
拜請,bai3 cnia2
拜堂,bai3 dng5
拜公媽,bai3 gong1 bbna2
拜候,bai3 hao7
拜訪,bai3 hong2
拜會,bai3 hue7
拜一,bai3 it4
拜六,bai3 lak8
拜年,bai3 lni5
拜票,bai3 pio3
拜託,bai3 tok4
俳,bai5
徘,bai5
排,bai5
棑,bai5
牌,bai5
牌仔,bai5 a2
棑仔頭,bai5 a2 tao5
排班,bai5 ban1
排版,bai5 ban2
排名,bai5 bbnia5
排出,bai5 cut4
排除,bai5 di5
排除,bai5 du5
排隊,bai5 dui7
排解,bai5 gai2
排球,bai5 giu5
排骨酥,bai5 gut4 soo1
排行,bai5 hang5
排放,bai5 hong3
排演,bai5 ian2
排氣,bai5 ki3
排練,bai5 lian7
排列,bai5 liat8
排卵,bai5 luan2
排斥,bai5 tik4
牌照,bai5 ziao3
牌照,bai5 zio3
牌子,bai5 zu2
排水,bai5 zui2
敗,bai7
敗馬,bai7 bbe2
敗市,bai7 ci7
敗家,bai7 ge1
敗價,bai7 ge3
敗害,bai7 hai7
敗壞,bai7 huai7
敗血症,bai7 hueh4 zing3
敗血症,bai7 huih4 zing3
敗露,bai7 loo7
敗腎,bai7 sin7
剝,bak4
北,bak4
幅,bak4
腹,bak4
北歐,bak4 ao1
北美,bak4 bbi2
北美館,bak4 bbi2 guan2
北美洲,bak4 bbi2 ziu1
北門,bak4 bbnng5
北門區,bak4 bbnng5 ku1
北門嶼,bak4 bbnng5 su7
北爿,bak4 bing5
北半球,bak4 bnua3 giu5
北埔,bak4 boo1
北埔鄉,bak4 boo1 hiong1
北部,bak4 boo7
北插天山,bak4 cah4 tian1 snua1
北插天山,bak4 cah4 tni1 snua1
北斗鎮,bak4 dao2 din3
北投,bak4 dao5
北投區,bak4 dao5 ku1
北投溫泉博物館,bak4 dao5 un1 znua5 pok4 bbut8 guan2
腹腸,bak4 dng5
腹肚,bak4 doo2
腹肚尾,bak4 doo2 bbe2
腹肚尾,bak4 doo2 bbue2
腹肚枵,bak4 doo2 iao1
北屯區,bak4 dun7 ku1
北竿鄉,bak4 gan1 hiong1
北港鎮,bak4 gang2 din3
北港溪,bak4 gang2 ke1
北極,bak4 gik8
北極殿,bak4 gik8 dian7
北京,bak4 gnia1
北管,bak4 guan2
北合歡山,bak4 hap8 huan1 snua1
北方,bak4 hong1
北區,bak4 ku1
腹內,bak4 lai7
