暗毿病,am3 sam3 piⁿ7
暗殺,am3 sat4
暗色,am3 sek4
暗時,am3 si5
暗示,am3 si7
暗趖趖,am3 so5 so5
暗淡,am3 tam7
暗袋仔,am3 te7 a2
暗頭仔,am3 thau5 a2
暗中,am3 tiong1
暗頓,am3 tng3
涵,am5
涵溝,am5 kau1
涵空,am5 khang1
涵空龜,am5 khang1 ku1
茂,am7
頷,am7
頷腮,am7 chhi1
頷巾,am7 kin1
頷胿,am7 kui1
頷巾,am7 kun1
頷頸,am7 kun2
頷頸珠,am7 kun2 chu1
頷領,am7 nia2
頷垂,am7 se5
安,an1
鞍,an1
安眠,an1 bin5
安靜,an1 cheng7
安插,an1 chhah4
安床,an1 chhng5
安全,an1 choan5
安裝,an1 chong1
安葬,an1 chong3
安份,an1 hun7
安養,an1 iong2
安養,an1 iuⁿ2
安家,an1 ka1
安家,an1 ke1
安南區,an1 lam5 khu1
安寧,an1 leng5
安靈,an1 leng5
安樂區,an1 lok8 khu1
安排,an1 pai5
安平區,an1 peng5 khu1
安平鎮,an1 peng5 tin3
安心,an1 sim1
安身,an1 sin1
安詳,an1 siong5
安搭,an1 tah4
安打,an1 taⁿ2
安定,an1 teng7
安定區,an1 teng7 khu1
安胎,an1 thai1
安太歲,an1 thai3 soe3
安宅,an1 theh8
安通,an1 thong1
安土,an1 tho͘2
安置,an1 ti3
安慰,an1 ui3
安穩,an1 un2
俺,an2
按,an2
按怎,an2 choaⁿ2
按怎樣,an2 choaⁿ2 iuⁿ7
按怎,an2 na2
按呢,an2 ne1
按呢生,an2 ne1 seⁿ1
按呢,an2 ni1
按呢生,an2 ni2 siⁿ1
按怎,an2 noa2
按,an3
晏,an3
案,an3
按脈,an3 beh8
案情,an3 cheng5
按照,an3 chiau3
按額,an3 giah8
按下,an3 ha7
案件,an3 kiaⁿ7
案例,an3 le7
按脈,an3 meh8
按時,an3 si5
按算,an3 sng3
案底,an3 te2
案底,an3 toe2
絚,an5
亞鉛鉼,an5 _ phiaⁿ2,2
亞鉛線,an5 _ soaⁿ3,2
限,an7
限數,an7 siau3
尪,ang1
翁,ang1
尪仔,ang1 a2
尪仔面,ang1 a2 bin7
翁仔某,ang1 a2 bo͘2
尪仔冊,ang1 a2 chheh4
尪仔物,ang1 a2 mih8
尪仔物,ang1 a2 mngh8
尪仔標,ang1 a2 phiau1
尪仔頭,ang1 a2 thau5
翁某,ang1 bo͘2
尪姨,ang1 i5
尪架桌,ang1 ke3 toh4
翁婿,ang1 sai3
聬儱,ang2 lang2
甕,ang3
齆,ang3
甕仔,ang3 a2
聬儱,ang3 lang2
齆鼻,ang3 phiⁿ7
齆鼻聲,ang3 phiⁿ7 siaⁿ1
齆聲,ang3 siaⁿ1
甕肚,ang3 to͘7
洪,ang5
紅,ang5
紅肉李,ang5 bah4 li2
紅目,ang5 bak8
紅目墘,ang5 bak8 kiⁿ5
紅目鰱,ang5 bak8 lian5
紅尾冬,ang5 be2 tang1
紅面,ang5 bin7
紅面鴨,ang5 bin7 ah4
紅尾冬,ang5 boe2 tang1
紅毛塗,ang5 bun5 tho͘5
紅糟,ang5 chau1
紅綵,ang5 chhai2
紅菜,ang5 chhai3
紅菜頭,ang5 chhai3 thau5
紅蔥仔頭,ang5 chhang1 a2 thau5
紅樹林,ang5 chhiu7 na5
紅蟳,ang5 chim5
紅酒,ang5 chiu2
紅棗,ang5 cho2
紅嬰仔,ang5 eⁿ1 a2
紅牙,ang5 ge5
紅外線,ang5 goa7 soaⁿ3
紅霞,ang5 he5
紅莧菜,ang5 heng7 chhai3
紅瓦厝仔,ang5 hia7 chhu3 a2
紅葉溪,ang5 hioh8 khe1
紅葉山,ang5 hioh8 soaⁿ1
紅藥水,ang5 ioh8 chui2
紅嬰仔,ang5 iⁿ1 a2
紅魽,ang5 kam1
紅柿,ang5 khi7
紅記記,ang5 ki3 ki3
紅膏赤蠘,ang5 ko1 chhiah4 chhih8
紅絳絳,ang5 kong3 kong3
紅龜,ang5 ku1
紅龜粿,ang5 ku1 ke2
紅龜粿,ang5 ku1 koe2
紅利,ang5 li7
紅鰱魚,ang5 lian5 hi5
